index,sample,etchlevel,etchtime,element,species,spin,expected_eV,fitted_eV,fitted_stderr,delta_eV
0,BOE_WK0,,,Ta4f,Ta metal,7/2,22.0,22.433097533852028,0.003161337719706929,0.43309753385202754
0,BOE_WK0,,,Ta4f,Ta metal,5/2,23.9,24.343097533852028,0.0031613377123614022,0.4430975338520291
0,BOE_WK0,,,Ta4f,Ta interface,7/2,22.4,22.731568754134322,0.016575910888447978,0.33156875413432374
0,BOE_WK0,,,Ta4f,Ta interface,5/2,24.3,24.641568754134322,0.016575910888447978,0.34156875413432175
0,BOE_WK0,,,Ta4f,Ta alloy,7/2,24.0,24.933097533851708,0.0031613377580106987,0.9330975338517078
0,BOE_WK0,,,Ta4f,Ta alloy,5/2,25.9,26.843097533851708,0.0031613377580106987,0.9430975338517094
0,BOE_WK0,,,Ta4f,Ta+1,7/2,22.7,22.599572581958753,0.05639231129963767,-0.10042741804124589
0,BOE_WK0,,,Ta4f,Ta+1,5/2,24.6,24.509572581958754,0.05639231119326576,-0.09042741804124788
0,BOE_WK0,,,Ta4f,Ta+3,7/2,24.2,23.675370302414994,0.10660834231065118,-0.5246296975850058
0,BOE_WK0,,,Ta4f,Ta+3,5/2,26.1,25.585370302414994,0.10660834245998568,-0.5146296975850078
0,BOE_WK0,,,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.8764984374525,0.009881868001099902,-0.9235015625475
0,BOE_WK0,,,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.7864984374525,0.009881868010004392,-0.9135015625474985
1,BOE_WK1,,,Ta4f,Ta metal,7/2,22.0,22.425508426445635,0.0,0.425508426445635
1,BOE_WK1,,,Ta4f,Ta metal,5/2,23.9,24.335508426445635,0.0,0.4355084264456366
1,BOE_WK1,,,Ta4f,Ta interface,7/2,22.4,22.752993450542174,0.0,0.3529934505421757
1,BOE_WK1,,,Ta4f,Ta interface,5/2,24.3,24.662993450542174,0.0,0.3629934505421737
1,BOE_WK1,,,Ta4f,Ta alloy,7/2,24.0,23.963484629178016,0.0,-0.036515370821984305
1,BOE_WK1,,,Ta4f,Ta alloy,5/2,25.9,25.873484629178016,0.0,-0.026515370821982742
1,BOE_WK1,,,Ta4f,Ta+1,7/2,22.7,22.182032781200625,0.0,-0.5179672187993738
